vrsta	lokacija	obr	swc	gostota	pF2	pF4.2	aw	LAI_jul	LAI_avg	NDVI_jul	GNDVI_jul	NDRE_jul	NDVI_avg	GNDVI_avg	NDRE_avg	X	Y
2	3	2_3	0.3557	1.4116	0.42995	0.262261066	0.167688934	2.738040067	1.927355	0.846431784	0.770418649	0.578179351	0.677259947	0.64637445	0.436592596	24	140
2	4	2_4	0.347066667	1.4895	0.37275	0.247520346	0.125229654	2.026071235	1.81344	0.893621844	0.812220755	0.636476011	0.792031472	0.736067076	0.539799266	24	120
2	5	2_5	0.370733333	1.496766667	0.40335	0.230178977	0.173171023	1.339873305	0.896701	0.907933577	0.826229796	0.656739501	0.819226248	0.752927262	0.556435532	24	100
2	6	2_6	0.2622	1.527033333	0.3199	0.162677621	0.157222379	2.108269646	1.706095	0.899772588	0.816456025	0.638006914	0.764255026	0.715851603	0.518385302	24	80
2	7	2_7	0.260733333	1.3741	0.28345	0.159021352	0.124428648	2.549022128	1.961485	0.890160634	0.811651842	0.638102179	0.772371646	0.725452777	0.533722438	24	60
2	8	2_8	0.2813	1.438233333	0.30245	0.165190995	0.137259005	2.963384589	2.058455	0.89807496	0.821263471	0.651237643	0.802067457	0.74388805	0.549102392	24	40
2	9	2_9	0.295966667	1.435433333	0.33045	0.165839789	0.164610211	1.413357386	1.316775	0.898191295	0.818577134	0.644906837	0.791587175	0.732957825	0.53506487	24	20
2	10	2_10	0.312233333	1.575733333	0.3548	0.178863804	0.175936196	2.715691106	2.151575	0.897399327	0.815967789	0.641618817	0.783053598	0.728040751	0.529991968	24	0
3	1	3_1	0.3313	1.417533333	0.3717	0.237206536	0.134493464	3.235679202	2.176465	0.871475879	0.793907996	0.60780398	0.723121775	0.685199733	0.476640452	12	180
3	2	3_2	0.358166667	1.343133333	0.4021	0.261921825	0.140178175	2.59150054	2.044885	0.844383816	0.765131653	0.565840836	0.696191997	0.653289608	0.440566301	12	160
3	3	3_3	0.336766667	1.475866667	0.42695	0.298065434	0.128884566	2.219220972	1.953455	0.895712889	0.810805629	0.630927362	0.763089787	0.713748991	0.512144507	12	140
3	4	3_4	0.309266667	1.4539	0.41805	0.298206209	0.119843791	2.039650856	1.49112	0.898852798	0.820328525	0.641236904	0.753737516	0.708743734	0.510783736	12	120
3	5	3_5	0.357833333	1.5594	0.4156	0.313252304	0.102347696	2.265906681	1.454985	0.891397042	0.807441889	0.622667032	0.766952776	0.719866773	0.522409117	12	100
3	6	3_6	0.363366667	1.499033333	0.3916	0.260421987	0.131178013	2.645871799	1.82235	0.884664534	0.807458411	0.62833	0.762376331	0.713363709	0.516558299	12	80
3	7	3_7	0.3312	1.509966667	0.3674	0.207649346	0.159750654	2.808818108	2.310975	0.892787157	0.809515456	0.625312112	0.77960272	0.721833498	0.519026953	12	60
3	8	3_8	0.307766667	1.479233333	0.35335	0.197965382	0.155384618	2.683931168	2.204415	0.901262886	0.823756593	0.647443572	0.803032629	0.744406104	0.544020001	12	40
3	9	3_9	0.270466667	1.582166667	0.3324	0.22844064	0.10395936	2.931456089	2.1167	0.892846943	0.818904361	0.643325346	0.784774585	0.730149247	0.525337421	12	20
3	10	3_10	0.2921	1.546466667	0.3715	0.233140214	0.138359786	2.623091853	2.180795	0.89594118	0.816205322	0.633992928	0.777800608	0.722532022	0.514561916	12	0
4	1	4_1	0.350633333	1.555766667	0.38465	0.259283317	0.125366683	3.553719229	2.44846	0.844916222	0.769385028	0.570336131	0.66388474	0.6441372	0.424853193	0	180
4	2	4_2	0.377566667	1.437666667	0.4287	0.284128129	0.144571871	2.389617914	1.885945	0.899593431	0.819759242	0.64092479	0.782487196	0.726237921	0.522181818	0	160
4	3	4_3	0.386733333	1.5049	0.441	0.310454345	0.130545655	1.661767989	1.50399	0.901938803	0.826558743	0.654301787	0.784581392	0.732935021	0.532540162	0	140
4	4	4_4	0.324033333	1.466466667	0.4228	0.304305041	0.118494959	2.808076565	2.11607	0.88715468	0.812215918	0.634408289	0.744509183	0.700882581	0.499957396	0	120
4	5	4_5	0.342633333	1.504	0.41515	0.300410404	0.114739596	2.771767356	2.189715	0.869777376	0.801270128	0.623104196	0.716584068	0.683410286	0.481377574	0	100
4	6	4_6	0.3643	1.520233333	0.3828	0.258820149	0.123979851	2.605642475	2.057005	0.891025686	0.815185108	0.638128786	0.778846897	0.723928825	0.519753382	0	80
4	7	4_7	0.308633333	1.5672	0.3436	0.210426793	0.133173207	2.401874326	2.06613	0.891946597	0.81260641	0.629883276	0.790904488	0.728142737	0.518226165	0	60
4	8	4_8	0.259233333	1.5863	0.3389	0.205767844	0.133132156	2.442293787	2.079005	0.883245974	0.804080143	0.61720317	0.787502452	0.724574198	0.520267118	0	40
4	9	4_9	0.2658	1.611966667	0.35545	0.22377989	0.13167011	2.70877681	2.22708	0.887904342	0.814837871	0.644296414	0.766177265	0.71922278	0.518552492	0	20
4	10	4_10	0.306666667	1.493266667	0.3723	0.232300048	0.139999952	2.598204046	1.72536	0.899323722	0.827834318	0.66163063	0.775918016	0.723961111	0.516851633	0	0
